1,作业盒子小学学生端,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_中小学教育 教育培训_学历教育 
2,作业帮,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_中小学教育 教育培训_学历教育 
3,最右,娱乐 社会 ,移动应用_新闻资讯 ,文化娱乐 ,文化娱乐_书籍杂志 
3,最右,娱乐 社会 ,移动应用_社交网络 移动应用_通信聊天 ,文化娱乐 ,文化娱乐_电影电视 文化娱乐_演出 
5,最美证件照,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
6,最美天气,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
7,最惠保,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 
7,最惠保,汽车 本地 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 商务服务 ,商务服务_安全安保 汽车_车辆养护 
8,足记,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
9,租租车,本地 汽车 商业 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 旅游出行 ,汽车_租车 旅游出行_本地周边游 
10,租了啦,家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 
11,纵横小说,漫画 动漫 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
12,踪视通,科学 科技 数码 ,移动应用_常用工具 移动应用_生活服务 移动应用_性能优化 ,科技数码 家装百货 ,商务服务_安全安保 
13,自如客,家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 
13,自如客,家居 房产 商业 ,移动应用_生活服务 移动应用_金融理财 ,商务服务 房产 ,房产_租房 房产_二手房 商务服务_营销广告 
15,紫微斗数,故事 辟谣 星座 ,移动应用_常用工具 移动应用_生活服务 移动游戏_休闲时间 ,文化娱乐 游戏 ,游戏_扑克棋牌 文化娱乐_爱好收藏 
16,滋味Live,娱乐 时尚 游戏 ,移动游戏_休闲时间 移动应用_社交网络 ,科技数码 文化娱乐 ,文化娱乐_电影电视 
17,追追漫画,漫画 动漫 故事 ,移动应用_常用工具 移动应用_阅读学习 ,母婴儿童 教育培训 文化娱乐 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
