1,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_中小学教育 教育培训_学历教育 
2,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_中小学教育 教育培训_学历教育 
3,娱乐 社会 ,移动应用_新闻资讯 ,文化娱乐 ,文化娱乐_书籍杂志 
5,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
6,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
7,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 
8,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
9,本地 汽车 商业 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 旅游出行 ,汽车_租车 旅游出行_本地周边游 
10,家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 
11,漫画 动漫 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
12,科学 科技 数码 ,移动应用_常用工具 移动应用_生活服务 移动应用_性能优化 ,科技数码 家装百货 ,商务服务_安全安保 
13,家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 
15,故事 辟谣 星座 ,移动应用_常用工具 移动应用_生活服务 移动游戏_休闲时间 ,文化娱乐 游戏 ,游戏_扑克棋牌 文化娱乐_爱好收藏 
16,娱乐 时尚 游戏 ,移动游戏_休闲时间 移动应用_社交网络 ,科技数码 文化娱乐 ,文化娱乐_电影电视 
17,漫画 动漫 故事 ,移动应用_常用工具 移动应用_阅读学习 ,母婴儿童 教育培训 文化娱乐 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
18,漫画 动漫 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
19,娱乐 时尚 游戏 ,移动游戏_休闲时间 移动应用_社交网络 ,科技数码 文化娱乐 ,文化娱乐_电影电视 
21,社会 商业 本地 ,移动应用_生活服务 移动应用_网上购物 ,商务服务 ,商务服务_物流配送 商务服务_营销广告 商务服务_招商加盟 
22,娱乐 社会 ,移动应用_社交网络 移动应用_通信聊天 ,文化娱乐 ,文化娱乐_电影电视 文化娱乐_演出 
23,摄影 漫画 设计 ,移动应用_常用工具 移动应用_美化手机 ,科技数码 生活服务 ,科技数码_手机及配件 生活服务_摄影照相 
24,漫画 动漫 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 ,教育培训_学前教育 教育培训_中小学教育 母婴儿童_儿童玩具 
25,毕业生 职场 ,移动应用_阅读学习 ,教育培训 商务服务 ,商务服务_求职招聘 教育培训_公务员考试 
26,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
27,商业 财经 毕业生 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 汽车 ,金融理财_期货外汇 
28,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
29,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_互联网金融 金融理财_银行理财 
30,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
31,商业 财经 娱乐 探索 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 科技数码 ,金融理财_互联网金融 
32,商业 财经 娱乐 探索 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 科技数码 ,金融理财_互联网金融 
33,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 
34,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
35,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
36,汽车 本地 职场 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 ,汽车_低档车 汽车_中档车 汽车_车辆养护 
37,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
38,商业 财经 毕业生 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 汽车 ,金融理财_期货外汇 
39,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
40,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
41,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 
42,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
43,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
44,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
45,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
46,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
47,科学 科技 数码 ,移动应用_常用工具 移动应用_生活服务 移动应用_性能优化 ,科技数码 家装百货 ,商务服务_安全安保 
48,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
49,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
50,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
51,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
52,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
53,商业 财经 ,移动应用_金融理财 移动应用_常用工具 ,金融理财 ,金融理财_银行理财 
54,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
55,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 
56,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_日用百货 生活服务_家政服务 
